frame_id,timestamp,brand,confidence,x1,y1,x2,y2
25,0.417,adidas,0.929,1131.1,382.1,1227.5,442.4
50,0.833,nike,0.899,774.6,408.0,855.0,440.5
35,0.583,nike,0.917,451.1,431.9,552.4,469.5
35,0.583,nike,0.496,456.3,923.6,481.9,935.2
40,0.667,nike,0.921,732.2,977.4,787.4,1002.1
40,0.667,nike,0.912,902.2,977.2,957.8,1002.2
40,0.667,nike,0.438,523.1,925.8,546.9,936.3
55,0.917,adidas,0.916,1426.3,383.1,1518.0,438.0
730,12.167,adidas,0.943,764.9,233.3,1118.6,469.9
710,11.833,nike,0.934,213.2,285.4,612.3,507.1
1865,31.083,nike,0.938,147.0,427.2,740.9,740.2
1890,31.5,adidas,0.941,1244.1,414.3,1752.3,759.5
2410,40.167,adidas,0.899,644.0,317.8,721.6,366.3
2420,40.333,nike,0.895,889.0,304.9,975.3,337.6
2430,40.5,puma,0.929,1138.2,358.4,1234.5,410.7
2425,40.417,nike,0.375,951.9,732.4,974.6,743.0
2430,40.5,nike,0.362,893.6,734.8,915.7,745.1
3815,63.583,nike,0.879,681.0,180.6,1231.2,470.5
4435,73.917,nike,0.919,1276.0,363.3,1461.3,429.5
5335,88.917,nike,0.926,1295.3,496.6,1370.4,537.5
5340,89.0,nike,0.867,1427.3,377.8,1501.8,417.7
5345,89.083,nike,0.857,1235.9,665.5,1310.8,705.2
5355,89.25,nike,0.925,1156.1,513.6,1229.3,551.7
5360,89.333,nike,0.905,1053.7,362.3,1128.3,403.2
5365,89.417,nike,0.928,927.8,342.0,1003.5,382.1
5370,89.5,nike,0.932,1004.2,502.8,1080.2,541.5
5375,89.583,nike,0.928,791.4,321.8,868.0,361.4
5385,89.75,nike,0.911,877.2,532.5,952.5,571.3
5395,89.917,nike,0.91,1113.3,653.0,1187.6,691.7
5405,90.083,nike,0.934,689.3,633.7,765.5,675.4
5415,90.25,nike,0.917,753.2,487.7,830.8,527.2
5420,90.333,nike,0.928,572.1,613.1,643.7,651.2
5425,90.417,nike,0.932,432.5,520.6,504.9,560.1
5430,90.5,nike,0.919,631.6,444.0,708.1,483.9
5435,90.583,nike,0.892,421.8,354.4,496.0,394.6
5445,90.75,nike,0.913,580.6,280.7,656.4,319.5
5390,89.833,nike,0.922,986.0,686.5,1062.2,724.8
5400,90.0,nike,0.928,839.4,682.1,916.1,721.6
5665,94.417,nike,0.843,736.8,424.3,840.5,463.7
5670,94.5,nike,0.906,1072.4,379.6,1154.3,413.2
5665,94.417,nike,0.559,736.5,938.9,766.8,951.8
5665,94.417,nike,0.441,807.7,939.2,835.1,951.3
5670,94.5,nike,0.888,1207.5,996.0,1263.1,1021.3
5670,94.5,nike,0.886,1030.4,994.8,1087.7,1021.0
10130,168.833,adidas,0.947,358.1,278.5,657.4,478.9
11630,193.833,nike,0.862,1213.3,638.7,1326.4,684.7
11685,194.75,nike,0.871,1212.1,639.3,1316.5,685.0
11735,195.583,nike,0.87,1212.0,639.4,1316.3,685.0
11795,196.583,nike,0.873,1212.2,639.3,1316.4,684.9
11885,198.083,nike,0.909,1229.0,638.4,1358.8,686.7
13390,223.167,nike,0.901,81.4,614.6,188.7,655.8
13390,223.167,nike,0.893,80.7,510.3,190.7,551.8
13395,223.25,nike,0.906,439.8,647.4,550.4,686.6
13400,223.333,nike,0.9,442.1,541.5,553.2,584.6
13410,223.5,nike,0.895,583.8,612.2,691.4,654.9
13415,223.583,nike,0.89,743.9,647.9,853.8,690.2
13420,223.667,nike,0.909,745.2,543.1,857.3,586.3
13425,223.75,nike,0.923,875.8,650.6,984.5,690.1
13430,223.833,nike,0.894,879.0,545.8,987.6,587.4
13435,223.917,nike,0.88,1039.3,650.9,1151.4,692.5
