frame_id,timestamp,brand,confidence,x1,y1,x2,y2
13410,223.5,nike,0.884,583.1,509.0,693.8,552.1
13440,224.0,nike,0.918,1041.1,547.1,1152.1,588.3
13450,224.167,nike,0.91,1181.9,618.4,1293.0,661.0
13450,224.167,nike,0.905,1182.6,513.4,1293.0,556.1
14475,241.25,adidas,0.768,1212.5,635.2,1289.8,684.3
14490,241.5,adidas,0.855,1349.7,632.7,1450.9,687.4
14505,241.75,adidas,0.821,1514.3,635.7,1608.1,686.0
14540,242.333,adidas,0.881,1246.4,634.4,1341.3,686.9
14565,242.75,adidas,0.822,1514.4,635.6,1608.3,686.0
14570,242.833,adidas,0.887,1566.1,633.4,1661.2,688.8
14605,243.417,adidas,0.777,1296.4,635.1,1396.4,686.4
14630,243.833,adidas,0.888,1566.2,633.3,1661.3,688.8
14635,243.917,adidas,0.93,1624.5,623.3,1716.8,697.8
14680,244.667,adidas,0.849,1456.8,632.6,1554.6,686.5
14690,244.833,adidas,0.888,1566.1,633.4,1661.4,688.8
14695,244.917,adidas,0.93,1624.7,623.5,1716.7,697.8
14750,245.833,adidas,0.888,1566.3,633.3,1661.2,688.8
14755,245.917,adidas,0.93,1624.5,623.5,1716.7,697.7
14805,246.75,adidas,0.82,1514.3,635.7,1608.2,686.0
14815,246.917,adidas,0.93,1624.4,623.3,1716.8,698.1
14865,247.75,adidas,0.821,1514.4,635.6,1608.3,686.0
14875,247.917,adidas,0.93,1624.6,623.5,1716.6,697.7
17515,291.917,adidas,0.896,1029.4,421.0,1077.5,452.6
17520,292.0,adidas,0.885,634.0,399.7,706.2,444.3
18500,308.333,nike,0.926,430.2,340.2,551.3,417.8
19580,326.333,nike,0.919,851.9,959.0,918.3,998.7
19580,326.333,nike,0.913,745.8,959.7,811.9,997.5
21330,355.5,nike,0.618,911.6,896.7,941.2,909.5
21325,355.417,adidas,0.711,978.0,897.5,1002.1,912.9
22530,375.5,nike,0.883,1280.4,410.8,1609.0,594.3
23175,386.25,nike,0.627,932.8,359.2,984.0,384.9
